Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác - Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác - Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE012,Giáo dục thể chất,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT010,Tổ chức và cấu trúc máy tính,2,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IS005,Giới thiệu ngành Hệ thống thông tin,1,Môn cơ sở ngành,
IS336,Hoạch định nguồn lực doanh nghiệp,4,Môn chuyên ngành,
IS201,Phân tích thiết kế hệ thống thông tin,4,Môn chuyên ngành,
IS210,Hệ quản trị cơ sở dữ liệu,4,Môn chuyên ngành,
IS208,Quản lý dự án công nghệ thông tin,4,Môn chuyên ngành,
IS216,Lập trình Java,4,Môn chuyên ngành,
IS207,Phát triển ứng dụng web,4,Môn chuyên ngành,
NT118,Phát triển ứng dụng trên thiết bị di động,3,Môn chuyên ngành,
IS211,Cơ sở dữ liệu phân tán,4,Môn chuyên ngành,
IS405,Dữ liệu lớn,4,Môn chuyên ngành,
IS252,Khai thác dữ liệu,4,Môn chuyên ngành,
IS217,Kho dữ liệu và OLAP,3,Môn chuyên ngành,
IS403,Phân tích dữ liệu kinh doanh,3,Môn chuyên ngành,
IS354,Công nghệ tài chính căn bản Fintech,3,"Đồ án, thực tập",
IS356,Agile IT với DevOps,3,"Đồ án, thực tập",
IS357,Kiến trúc hướng dịch vụ,3,"Đồ án, thực tập",
IS232,Hệ thống thông tin kế toán,4,"Đồ án, thực tập",
IS254,Hệ hỗ trợ quyết định,3,"Đồ án, thực tập",
IS334,Thương mại điện tử,3,"Đồ án, thực tập",
IS351,Phân tích không gian,4,"Đồ án, thực tập",
IS251,Nhập môn Hệ thống thông tin địa lý,4,"Đồ án, thực tập",
IS335,An toàn và bảo mật Hệ thống thông tin,3,"Đồ án, thực tập",
IS339,Sinh tin học,3,"Đồ án, thực tập",
IS220,Xây dựng HTTT trên các framework,4,"Đồ án, thực tập",
NT532,Công nghệ Internet of things hiện đại,3,"Đồ án, thực tập",
DS102,Học máy thống kê,4,"Đồ án, thực tập",
EC213,Quản trị quan hệ khách hàng và nhà cung cấp,3,"Đồ án, thực tập",
EC214,Nhập môn quản trị chuỗi cung ứng,3,"Đồ án, thực tập",
EC331,Quản trị chiến lược kinh doanh điện tử,3,"Đồ án, thực tập",
IS402,Điện toán đám mây,3,"Đồ án, thực tập",
IS353,Mạng xã hội,3,"Đồ án, thực tập",
IS355,Công nghệ Blockchain,4,"Đồ án, thực tập",
ENG01,Anh Văn 1,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
ENG02,Anh Văn 2,4,"Đồ án, thực tập",
SS007,Triết học Mác- Lênin,3,"Đồ án, thực tập",
SS008,Kinh tế chính trị Mác- Lênin,2,"Đồ án, thực tập",
ENG03,Anh Văn 3,4,"Đồ án, thực tập",
SS010,Lịch sử Đảng Cộng Sản Việt Nam,2,"Đồ án, thực tập",
IS502,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
,Môn tự chọn tự do (1),3,"Đồ án, thực tập",
,Môn tự chọn tự do (2),4,"Đồ án, thực tập",
,Chuyên đề tốt nghiệp,10,"Đồ án, thực tập",
IS401,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
