Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Kiến thức tốt nghiệp Graduation (13 Credits),Kiến thức tốt nghiệp Graduation (13 Credits),"Đồ án, thực tập",
SS007,Triết học Mác-Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác- Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng Sản Việt Nam,2,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
ENGL 1113,Tiếng Anh I,3,Môn đại cương,
ENGL 1213,Tiếng Anh II,3,Môn đại cương,
SPCH 3723,Tiếng Anh chuyên ngành máy tính,3,Môn đại cương,
ENG01,Anh văn 1,Anh văn 1,Môn đại cương,
ENG02,Anh văn 2,Anh văn 2,Môn đại cương,
ENG03,Anh văn 3,Anh văn 3,Môn đại cương,
ENG04,Anh văn 4,Anh văn 4,Môn đại cương,
ENG05,Anh văn 5,Anh văn 5,Môn đại cương,
SPCH 2713,Kỹ năng giao tiếp,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MATH 2144,Giải tích I,4,Môn đại cương,
MATH 2153,Giải tích II,3,Môn đại cương,
MATH 3013,Đại số tuyến tính,3,Môn đại cương,
STAT 4033,Thống kê kỹ thuật,3,Môn đại cương,
CS 3653,Toán rời rạc cho máy tính,3,Môn đại cương,
PHYS 1114,Vật lý đại cương I,4,Môn đại cương,
PHYS 1214,Vật lý đại cương II,4,Môn đại cương,
CS 1113,Khoa học máy tính I,3,Môn đại cương,
CS 2133,Khoa học máy tính II,3,Môn đại cương,
PE012,Giáo dục thể chất,,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
27,MSIS 2433,MSIS 2433,Môn đại cương,
28,IS005,IS005,Môn đại cương,
29,CS 3443,CS 3443,Môn đại cương,
30,CS 4343,CS 4343,Môn đại cương,
31,CS 5423,CS 5423,Môn đại cương,
32,CS 4323,CS 4323,Môn đại cương,
33,CS 4283,CS 4283,Môn đại cương,
34,STAT 3013,STAT 3013,Môn đại cương,
1,CS 4273,3,Môn cơ sở ngành,
2,MSIS 3303,3,Môn cơ sở ngành,
3,MSIS 3033,3,Môn cơ sở ngành,
4,MSIS 4013,3,Môn cơ sở ngành,
5,IEM 5723,3,Môn cơ sở ngành,
6,CS 4243,3,Môn cơ sở ngành,
7,ACCT 5123,3,Môn cơ sở ngành,
8,MSIS 207,3,Môn chuyên ngành,
9,CS 4153,3,Môn chuyên ngành,
10,CS 5433,3,Môn chuyên ngành,
11,MKTG 5883,3,Môn chuyên ngành,
12,MSIS 4263,3,Môn chuyên ngành,
13,MSIS 4133,3,Môn chuyên ngành,
14,ACCT 3603,3,Môn chuyên ngành,
15,MKTG 4223,3,Môn chuyên ngành,
16,MSIS 405,3,Môn chuyên ngành,
17,MSIS 402,3,Môn chuyên ngành,
18,MSIS 4443,3,Môn chuyên ngành,
19,MSIS 4243,3,Môn chuyên ngành,
20,MSIS 3242,3,Môn chuyên ngành,
21,IEM 4733,3,Môn chuyên ngành,
22,MSIS 3243,3,Môn chuyên ngành,
23,MSIS 3233,3,Môn chuyên ngành,
24,CS 5030,3,"Đồ án, thực tập",
25,CS 5000,10,"Đồ án, thực tập",
IS005,Giới thiệu ngànhHệ thống thông tin,1,"Đồ án, thực tập",
CS 5423,Nguyên lý hệ cơ sở dữ liệu,4,"Đồ án, thực tập",
CS 4283,Mạng máy tính,3,"Đồ án, thực tập",
MSIS 2433,Lập trình hướng đối tượng,3,"Đồ án, thực tập",
CS 4323,Hệ điều hành,3,"Đồ án, thực tập",
CS 4273,Công nghệ phần mềm,4,"Đồ án, thực tập",
CS 3443,Hệ thống máy tính,3,"Đồ án, thực tập",
CS 4343,Cấu trúc dữ liệu và giải thuật,4,"Đồ án, thực tập",
STAT 3013,Phân tích thống kê,3,"Đồ án, thực tập",
MSIS 4013,"Thiết kế, quản lý và quản trị cơ sở dữ liệu",3,"Đồ án, thực tập",
MSIS 3303,Phân tích thiết kế hệ thống,4,"Đồ án, thực tập",
MSIS 3033,Quản lý dự án hệ thống thông tin,3,"Đồ án, thực tập",
ACCT 5123,Hoạch định nguồn lực doanh nghiệp,3,"Đồ án, thực tập",
,Các môn tự chọn 1,Elective (1),"Đồ án, thực tập",
MSIS 207,Phát triển ứng dụng web,4,"Đồ án, thực tập",
IEM 5723,"Mô hình hóa dữ liệu, quy trình và đối tượng",3,"Đồ án, thực tập",
CS 5433,Hệ cơ sở dữ liệu phân tán,3,"Đồ án, thực tập",
CS 4243,Thuật toán và các tiến trình trong an toàn máy tính,3,"Đồ án, thực tập",
,Các môn tự chọn 2,Elective (2),"Đồ án, thực tập",
MKTG 5883,Khai phá dữ liệu và ứng dụng,4,"Đồ án, thực tập",
MSIS 4263,Các ứng dụng thông minh và hỗ trợ ra quyết định,3,"Đồ án, thực tập",
CS 4153,Phát triển ứng dụng trên di động,3,"Đồ án, thực tập",
,Các môn tự chọn 3,Elective (3),"Đồ án, thực tập",
CS 5030,Thực tập doanh nghiệp,3,"Đồ án, thực tập",
CS 5000,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
