Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE012,Giáo dục thể chất,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
EC005,Giới thiệu ngành Thương mại điện tử,1,Môn cơ sở ngành,
EC001,Kinh tế học đại cương,4,Môn cơ sở ngành,
EC101,Marketing căn bản,3,Môn cơ sở ngành,
EC201,Phân tích thiết kế quy trình nghiệp vụ doanh nghiệp,4,Môn cơ sở ngành,
IS334,Thương mại điện tử,3,Môn cơ sở ngành,
IS207,Phát triển ứng dụng web,4,Môn cơ sở ngành,
EC204,Marketing điện tử,3,Môn chuyên ngành,
EC312,Thiết kế hệ thống TMĐT,3,Môn chuyên ngành,
EC213,Quản trị quan hệ khách hàng và nhà cung cấp,3,Môn chuyên ngành,
EC337,Hệ thống thanh toán trực tuyến,3,Môn chuyên ngành,
EC208,Quản trị dự án TMĐT,3,Môn chuyên ngành,
EC229,Pháp luật trong TMĐT,2,Môn chuyên ngành,
EC335,An toàn và bảo mật TMĐT,3,Môn chuyên ngành,
IS336,Hoạch định nguồn lực doanh nghiệp,4,Môn chuyên ngành,
EC214,Nhập môn quản trị chuỗi cung ứng,3,"Đồ án, thực tập",
EC232,Nguyên lý kế toán,3,"Đồ án, thực tập",
EC333,Quản trị tài chính doanh nghiệp,3,"Đồ án, thực tập",
EC338,Quản trị bán hàng,3,"Đồ án, thực tập",
EC002,Quản trị doanh nghiệp,3,"Đồ án, thực tập",
EC304,Tối ưu hóa công cụ tìm kiếm trong TMĐT,3,"Đồ án, thực tập",
EC222,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
EC401,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
EC331,Quản trị chiến lược kinh doanh điện tử,3,"Đồ án, thực tập",
EC402,Phát triển ứng dụng thương mại di động,4,"Đồ án, thực tập",
EC403,Thương mại xã hội,3,"Đồ án, thực tập",
IS403,Phân tích dữ liệu kinh doanh,3,"Đồ án, thực tập",
IS355,Công nghệ blockchain,4,"Đồ án, thực tập",
ENG01,Anh Văn 1,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
ENG02,Anh Văn 2,4,"Đồ án, thực tập",
ENG03,Anh Văn 3,4,"Đồ án, thực tập",
EC312,Thiết kế hệ thống thương mại điện tử,3,"Đồ án, thực tập",
,Môn học tự chọn tự do 1,3,"Đồ án, thực tập",
EC229,Pháp luật trong thương mại điện tử,2,"Đồ án, thực tập",
SS007,Triết học Mác - Lênin,3,"Đồ án, thực tập",
,Môn học tự chọn tự do 2,3,"Đồ án, thực tập",
SS008,Kinh tế chính trị Mác - Lênin,2,"Đồ án, thực tập",
,Môn học tự chọn tự do 3,3,"Đồ án, thực tập",
EC401,Khóa luận tốt nghiệp hoặc học 10 tín chỉ cho các môn học thuộc chuyên đề tốt nghiệp.,10,"Đồ án, thực tập",
