Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Kiến thức tốt nghiệp (1 2 TC) Graduation,5,"Đồ án, thực tập",
SS007,Triết học Mác-Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác- Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng Sản Việt Nam,2,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
ENG01,Anh văn 1,English 1,Môn đại cương,
ENG02,Anh văn 2,English 2,Môn đại cương,
ENG03,Anh văn 3,English 3,Môn đại cương,
ENG04,Anh văn 4,English 4,Môn đại cương,
ENG05,Anh văn 5,English 5,Môn đại cương,
ENG06,Anh văn 6,English 6,Môn đại cương,
ENG07,Anh văn 7,English 7,Môn đại cương,
SPCH 3723,Tiếng Anh chuyên ngành máy tính,3,Môn đại cương,
SPCH 2713,Kỹ năng giao tiếp,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MATH 2154,Giải tích,4,Môn đại cương,
MATH 3013,Đại số tuyến tính,3,Môn đại cương,
STAT 4033,Thống kê,3,Môn đại cương,
CS 3653,Toán rời rạc cho máy tính,3,Môn đại cương,
PHYS 1215,Vật lý đại cương,3,Môn đại cương,
CS 2134,Khoa học máy tính,4,Môn đại cương,
PE231,Giáo dục thể chất 1,Physical Education 1,Môn đại cương,
PE232,Giáo dục thể chất 2,Physical Education 2,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
25,Lập trình hướng đối tượng,3,Môn cơ sở ngành,
26,Giới thiệu ngành Hệ thống thông tin,1,Môn cơ sở ngành,
27,Hệ thống máy tính,3,Môn cơ sở ngành,
28,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
29,Nguyên lý hệ cơ sở dữ liệu,4,Môn cơ sở ngành,
30,Hệ điều hành,3,Môn cơ sở ngành,
31,Mạng máy tính,3,Môn cơ sở ngành,
32,Phân tích thống kê,3,Môn cơ sở ngành,
33,Phân tích thiết kế hệ thống thông tin,4,Môn chuyên ngành,
34,Quản lý dự án hệ thống thông tin,3,Môn chuyên ngành,
35,"Thiết kế, quản lý và quản trị cơ sở dữ liệu",3,Môn chuyên ngành,
36,Hoạch định nguồn lực doanh nghiệp,3,Môn chuyên ngành,
37,Phát triển ứng dụng web,4,Môn chuyên ngành,
38,Phát triển ứng dụng trên di động,3,Môn chuyên ngành,
39,Hệ cơ sở dữ liệu phân tán,3,Môn chuyên ngành,
40,Khai phá dữ liệu và ứng dụng,4,Môn chuyên ngành,
41,Các ứng dụng thông minh và hỗ trợ ra quyết định,3,Môn chuyên ngành,
42,Dữ liệu lớn trên nền điện toán đám mây,4,Môn chuyên ngành,
1,CNTT trong thương mại điện tử,3,Môn chuyên ngành,
2,Hệ thống thông tin kế toán,3,Môn chuyên ngành,
3,Quản trị chuỗi cung ứng,3,Môn chuyên ngành,
4,Các hệ thống mô phỏng trên máy tính,3,Môn chuyên ngành,
5,Điều khiển và giám sát hệ thống thông tin,3,Môn chuyên ngành,
6,Quản lý chất lượng phần mềm,3,Môn chuyên ngành,
7,Tái cấu trúc quy trình doanh nghiệp,3,Môn chuyên ngành,
8,Khoa học quản lý,3,Môn chuyên ngành,
9,Công nghệ tài chính căn bản Fintech,3,Môn chuyên ngành,
10,Công nghệ Blockchain,4,Môn chuyên ngành,
11,Kiến trúc hướng dịch vụ,3,Môn chuyên ngành,
1,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
2,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
IS005,Giới thiệu ngành Hệ thống thông tin,1,"Đồ án, thực tập",
CS 3443,Hệ thống máy tính,3,"Đồ án, thực tập",
CS 5423,Nguyên lý hệ cơ sở dữ liệu,4,"Đồ án, thực tập",
CS 4343,Cấu trúc dữ liệu và giải thuật,4,"Đồ án, thực tập",
CS 4323,Hệ điều hành,3,"Đồ án, thực tập",
CS 4283,Mạng máy tính,3,"Đồ án, thực tập",
MSIS 5723,Phân tích thiết kế hệ thống thông tin,4,"Đồ án, thực tập",
MSIS 3033,Quản lý dự án hệ thống thông tin,3,"Đồ án, thực tập",
ACCT 5123,Hoạch định nguồn lực doanh nghiệp,3,"Đồ án, thực tập",
MSIS 2433,Lập trình hướng đối tượng,3,"Đồ án, thực tập",
STAT 3013,Phân tích thống kê,3,"Đồ án, thực tập",
MSIS 4013,"Thiết kế, quản lý và quản trị cơ sở dữ liệu",3,"Đồ án, thực tập",
MSIS 207,Phát triển ứng dụng web,4,"Đồ án, thực tập",
MSIS 4263,Các ứng dụng thông minh và hỗ trợ ra quyết định,3,"Đồ án, thực tập",
CS 5433,Hệ cơ sở dữ liệu phân tán,3,"Đồ án, thực tập",
CS 4153,Phát triển ứng dụng trên di động,3,"Đồ án, thực tập",
MKTG 5883,Khai phá dữ liệu và ứng dụng,4,"Đồ án, thực tập",
,Các môn tự chọn 1,Elective (1),"Đồ án, thực tập",
MSIS 406,Dữ liệu lớn trên nền điện toán đám mây,4,"Đồ án, thực tập",
CS 5032,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
,Các môn tự chọn 2,Elective (2),"Đồ án, thực tập",
CS 5000,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
