Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác ‒ Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác ‒ Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
DS005,Giới thiệu ngành Khoa học dữ liệu,1,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT010,Tổ chức và cấu trúc máy tính,2,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
DS107,Tư duy tính toán cho Khoa học dữ liệu,4,Môn cơ sở ngành,
DS101,Thống kê và xác suất chuyên sâu,3,Môn cơ sở ngành,
DS105,Phân tích và trực quan dữ liệu,4,Môn cơ sở ngành,
DS102,Học máy thống kê,4,Môn cơ sở ngành,
DS108,Tiền xử lý và xây dựng bộ dữ liệu,4,Môn cơ sở ngành,
DS304,Thiết kế và phân tích thực nghiệm,3,Môn chuyên ngành,
DS307,Phân tích dữ liệu truyền thông xã hội,3,Môn chuyên ngành,
DS200,Phân tích dữ liệu lớn,4,Môn chuyên ngành,
DS315,Phân tích Kho dữ liệu,4,Môn chuyên ngành,
IE224,Phân tích dữ liệu,4,Môn chuyên ngành,
DS104,Tính toán song song và phân tán,4,Môn chuyên ngành,
