Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
PH002,Nhập môn mạch số,4,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT006,Kiến trúc máy tính,3,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
CE005,Giới thiệu ngành Kỹ thuật Máy tính,1,Môn cơ sở ngành,
CE103,Vi xử lý – vi điều khiển,4,Môn cơ sở ngành,
CE118,Thiết kế luận lý số,4,Môn cơ sở ngành,
CE119,Thực hành Kiến trúc Máy tính,1,Môn cơ sở ngành,
CE122,Phân tích mạch kỹ thuật (2),4,Môn cơ sở ngành,
CE124,Các thiết bị và mạch điện tử,4,Môn cơ sở ngành,
CE213,Thiết kế hệ thống số với HDL,4,Môn cơ sở ngành,
CE224,Thiết kế hệ thống nhúng,4,Môn cơ sở ngành,
CE***,Tự chọn chuyên ngành 1 (3),4,Môn chuyên ngành,
CE***,Tự chọn chuyên ngành 2 (3),4,Môn chuyên ngành,
XX***,"Tự chọn tự do 1 (4), (5)",3,Môn chuyên ngành,
XX***,"Tự chọn tự do 2 (4), (5)",3,Môn chuyên ngành,
CE201,Đồ án 1,2,Môn chuyên ngành,
CE206,Đồ án 2,2,Môn chuyên ngành,
SS004,Kỹ năng nghề nghiệp,2,"Đồ án, thực tập",
CE502,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
CE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
CE410,Kỹ thuật hệ thống máy tính,4,Môn chuyên ngành,
CE***,Chọn 01 môn thuộc danh sách các môn học tự chọn thuộc chuyên ngành Thiết kế vi mạch và phần cứng được mô tả trong Mục 6.5,4,Môn chuyên ngành,
CE408,Đồ án chuyên ngành Thiết kế vi mạch và phần cứng,2,Môn chuyên ngành,
CE***,Chọn 01 môn thuộc danh sách các môn học tự chọn thuộc chuyên ngành Hệ thống nhúng và IoT được mô tả trong Mục 6.5,4,Môn chuyên ngành,
CE412,Đồ án chuyên ngành Hệ thống nhúng và IoT,2,Môn chuyên ngành,
CE***,Chọn 01 môn thuộc danh sách các môn học tự chọn thuộc chuyên ngành Robotics và Trí tuệ nhân tạo được mô tả trong Mục 6.5,4,Môn chuyên ngành,
CE413,Đồ án chuyên ngành Robotic và AI,2,Môn chuyên ngành,
CE433,Thiết kế hệ thống SoC,4,Môn chuyên ngành,
CE222,Thiết kế vi mạch số,4,Môn chuyên ngành,
CE334,Thiết kế vi mạch tương tự,4,Môn chuyên ngành,
CE332,Thiết kế vi mạch hỗn hợp,4,Môn chuyên ngành,
CE436,Xử lý tín hiệu số và Ứng dụng,4,Môn chuyên ngành,
CE434,Chuyên đề thiết kế vi mạch 1,Chuyên đề thiết kế vi mạch 1,Môn chuyên ngành,
CE435,Chuyên đề thiết kế vi mạch 2,Chuyên đề thiết kế vi mạch 2,Môn chuyên ngành,
CE232,Thiết kế hệ thống nhúng không dây,4,Môn chuyên ngành,
CE439,Lập trình song song và Hệ thống phân tán,4,Môn chuyên ngành,
CE339,Công nghệ IoT và Ứng dụng,4,Môn chuyên ngành,
CE340,Trí tuệ nhân tạo cho hệ thống nhúng,4,Môn chuyên ngành,
CE342,Hệ thống thông minh,4,Môn chuyên ngành,
CE3031,Công nghệ cảm biến,4,Môn chuyên ngành,
CE437,Chuyên đề thiết kế hệ thống nhúng 1,Chuyên đề thiết kế hệ thống nhúng 1,Môn chuyên ngành,
CE438,Chuyên đề thiết kế hệ thống nhúng 2,Chuyên đề thiết kế hệ thống nhúng 2,Môn chuyên ngành,
