Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Lập trình máy tính,,Môn học khác,
,Toán cho Tin học,,Môn học khác,
,Hệ thống máy tính,,Môn học khác,
,Mạng máy tính căn bản,,Môn học khác,
,Hệ điều hành,,Môn học khác,
,Đồ án đổi mới sáng tạo,,Môn học khác,
,Công nghệ mạng máy tính,,Môn học khác,
,Lập trình cho kỹ sư mạng máy tính,,Môn học khác,
,Hệ thống Servers,,Môn học khác,
,Hệ thống mạng doanh nghiệp,,Môn học khác,
,Hoạt động an ninh mạng,,Môn học khác,
,Dự án chuyên ngành,,Môn học khác,
,Công nghệ mạng không dây,,Môn học khác,
,Hệ thống tường lửa nâng cao,,Môn học khác,
,An toàn mạng máy tính,,Môn học khác,
,Ethical Hacking,,Môn học khác,
,Dự án cá nhân,,Môn học khác,
,Hệ thống Server,48,Giai đoạn 1,
,Thực tập doanh nghiệp (*),,Giai đoạn 1,
,Dự án cá nhân (**),15,Giai đoạn 2,
