Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
IS005,Giới thiệu ngành Hệ thống thông tin,1,"Đồ án, thực tập",
Triết học Mác-Lênin,Marxist-Leninist philosophy,3,"Đồ án, thực tập",
Kinh tế chính trị Mác- Lênin,Marxist Leninist political economy,2,"Đồ án, thực tập",
Anh văn 1,English 1,,"Đồ án, thực tập",
Anh văn 2,English 2,,"Đồ án, thực tập",
Anh văn 3,English 3,,"Đồ án, thực tập",
Giáo dục quốc phòng,Military Education,,"Đồ án, thực tập",
PHYS 1215,Vật lý đại cương,3,"Đồ án, thực tập",
Giải tích,Calculus,4,"Đồ án, thực tập",
Đại số tuyến tính,Linear Algebra,3,"Đồ án, thực tập",
Khoa học máy tính,Computer Science,3,"Đồ án, thực tập",
Hệ thống máy tính,Computer Systems,3,"Đồ án, thực tập",
Anh văn 4,English 4,,"Đồ án, thực tập",
Anh văn 5,English 5,,"Đồ án, thực tập",
Anh văn 6,English 6,,"Đồ án, thực tập",
ENG07,Anh văn 7,N/A,"Đồ án, thực tập",
Tiếng Anh chuyên ngành máy tính,English for computer science,3,"Đồ án, thực tập",
Nguyên lý hệ cơ sở dữ liệu,Principles of database systems,3,"Đồ án, thực tập",
Cấu trúc dữ liệu và giải thuật,Data structures and algorithms,3,"Đồ án, thực tập",
Hệ điều hành,Design and Implementation of Operating system,3,"Đồ án, thực tập",
Mạng máy tính,Computer network,3,"Đồ án, thực tập",
Kỹ năng giao tiếp,Introduction to Speech Communication,2,"Đồ án, thực tập",
CS 3653,Toán rời rạc cho máy tính,3,"Đồ án, thực tập",
Thống kê,Statistics,3,"Đồ án, thực tập",
Phân tích thiết kế hệ thống thông tin,System Analysis and Design,3,"Đồ án, thực tập",
Quản lý dự án hệ thống thông tin,Information Systems Project Management,3,"Đồ án, thực tập",
Hoạch định nguồn lực doanh nghiệp,Enterprise Resource Planning,3,"Đồ án, thực tập",
Lập trình hướng đối tượng,Object Oriented Programming,3,"Đồ án, thực tập",
PE231,Giáo dục thể chất 1,N/A,"Đồ án, thực tập",
Lịch sử Đảng Cộng Sản Việt Nam,History of Vietnamese communist party,2,"Đồ án, thực tập",
Chủ nghĩa xã hội khoa học,Scientific socialism,2,"Đồ án, thực tập",
Pháp luật đại cương,Introduction to law,0,"Đồ án, thực tập",
Phân tích thống kê,Intermediate Statistical Analysis,3,"Đồ án, thực tập",
"Thiết kế, quản lý và quản trị cơ sở dữ liệu","Database system design, management and administration",3,"Đồ án, thực tập",
Phát triển ứng dụng web,Web Applications Development,3,"Đồ án, thực tập",
Các ứng dụng thông minh và hỗ trợ ra quyết định,Decision support and business intelligence applications,3,"Đồ án, thực tập",
CS 5433,Hệ cơ sở dữ liệu phân tán,3,"Đồ án, thực tập",
Phát triển ứng dụng trên di động,Mobile Applications Development,3,"Đồ án, thực tập",
Khai phá dữ liệu và ứng dụng,Advanced Data Mining Applications,3,"Đồ án, thực tập",
Giáo dục thể chất 2,Physical Education 2,,"Đồ án, thực tập",
Các môn tự chọn 1,Elective (1),6,"Đồ án, thực tập",
MSIS 406,Dữ liệu lớn trên nền điện toán đám mây,4,"Đồ án, thực tập",
Tư tưởng Hồ Chí Minh,Ho Chi Minh Ideology,2,"Đồ án, thực tập",
Thực tập doanh nghiệp,Internship,2,"Đồ án, thực tập",
Các môn tự chọn 2,Elective (2),4,"Đồ án, thực tập",
CS 5000,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
