Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
Mã MH,Tên MH,TC,Môn đại cương,
Các môn lý luận chính trị,Các môn lý luận chính trị,13,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
Toán – Tin học – Khoa học tự nhiên,Toán – Tin học – Khoa học tự nhiên,22,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
PH002,Nhập môn mạch số,4,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
Ngoại ngữ,Ngoại ngữ,12,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
Giáo dục thể chất – Giáo dục quốc phòng,Giáo dục thể chất – Giáo dục quốc phòng,,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT006,Kiến trúc máy tính,3,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
CE005,Giới thiệu ngành KTMT,1,Môn cơ sở ngành,
CE103,Vi xử lý – vi điều khiển,4,Môn cơ sở ngành,
CE118,Thiết kế luận lý số,4,Môn cơ sở ngành,
CE119,Thực hành Kiến trúc Máy tính,1,Môn cơ sở ngành,
CE122,Phân tích mạch kỹ thuật,4,Môn cơ sở ngành,
CE124,Các thiết bị và mạch điện tử,4,Môn cơ sở ngành,
CE212,Điều khiển tự động,4,Môn cơ sở ngành,
CE224,Thiết kế hệ thống nhúng,4,Môn cơ sở ngành,
CE201,Đồ án 1,Đồ án 1,Môn chuyên ngành,
CE206,Đồ án 2,Đồ án 2,Môn chuyên ngành,
CE232,Thiết kế hệ thống nhúng không dây,4,Môn chuyên ngành,
CE439,Lập trình song song và Hệ thống phân tán,4,Môn chuyên ngành,
CE339,Công nghệ IoT và Ứng dụng,4,Môn chuyên ngành,
CE340,Trí tuệ nhân tạo cho hệ thống nhúng,4,Môn chuyên ngành,
CE410,Kỹ thuật hệ thống máy tính,4,Môn chuyên ngành,
CE342,Hệ thống thông minh,4,Môn chuyên ngành,
CE348,Công nghệ cảm biến trong IoT,4,Môn chuyên ngành,
CE437,Chuyên đề thiết kế hệ thống nhúng 1,4,Môn chuyên ngành,
CE438,Chuyên đề thiết kế hệ thống nhúng 2,4,Môn chuyên ngành,
CE233,Kỹ thuật Robot,4,Môn chuyên ngành,
CE347,Điều khiển thông minh cho robot,4,Môn chuyên ngành,
CE440,Hệ thống định vị với ứng dụng AI,4,Môn chuyên ngành,
CE320,Logic mờ cho ứng dụng hệ thống nhúng,4,Môn chuyên ngành,
CE406,Tương tác người – máy,4,Môn chuyên ngành,
CE441,Chuyên đề thiết kế Robotics và AI 1,4,Môn chuyên ngành,
CE442,Chuyên đề thiết kế Robotics và AI 2,4,Môn chuyên ngành,
SS004,Kỹ năng nghề nghiệp,2,Môn chuyên ngành,
INI01,Thực tập quốc tế,2,Môn chuyên ngành,
ME001,Giáo dục quốc phòng,Tính riêng,"Đồ án, thực tập",
ENG02,Anh Văn 2,4,"Đồ án, thực tập",
CE119,Thực hành Kiến trúc máy tính,1,"Đồ án, thực tập",
CE103,Vi xử lý – Vi điều khiển,4,"Đồ án, thực tập",
SS008,Kinh tế chính trị Mác-Lênin,2,"Đồ án, thực tập",
CE***,Tự chọn chuyên ngành (1),4,"Đồ án, thực tập",
XX***,Tự chọn tự do (1),3,"Đồ án, thực tập",
CE201,Đồ án 1,2,"Đồ án, thực tập",
CE502,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
CE***,Tự chọn chuyên ngành (2),4,"Đồ án, thực tập",
XX***,Tự chọn tự do (2),3,"Đồ án, thực tập",
CE206,Đồ án 2,2,"Đồ án, thực tập",
CE505,Khóa luận tốt nghiệp (có thể thay thế bằng Đồ án tốt nghiệp tại doanh nghiệp hoặc nhóm môn học thay thế),10,"Đồ án, thực tập",
