Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Lập trình máy tính,20,Giai đoạn 1,
,Toán cho Tin học,20,Giai đoạn 1,
,Hệ thống máy tính,20,Giai đoạn 1,
,Mạng máy tính căn bản,20,Giai đoạn 1,
,Hệ điều hành,20,Giai đoạn 1,
,Đồ án đổi mới sáng tạo,20,Giai đoạn 1,
,Công nghệ mạng máy tính,20,Giai đoạn 1,
,Lập trình cho kỹ sư mạng máy tính,20,Giai đoạn 1,
,Hệ thống Servers,20,Giai đoạn 1,
,Hệ thống mạng doanh nghiệp,20,Giai đoạn 1,
,Hoạt động an ninh mạng,20,Giai đoạn 1,
,Dự án chuyên ngành,20,Giai đoạn 1,
,Công nghệ mạng không dây,20,Giai đoạn 2,
,Hệ thống tường lửa nâng cao,20,Giai đoạn 2,
,An toàn mạng máy tính,20,Giai đoạn 2,
,Ethical Hacking,20,Giai đoạn 2,
,Dự án cá nhân,40,Giai đoạn 2,
