Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
Mã MH,Tên MH,TC,Môn đại cương,
Các môn lý luận chính trị,Các môn lý luận chính trị,13,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
Toán – Tin học – Khoa học tự nhiên – Công nghệ - Môi trường,Toán – Tin học – Khoa học tự nhiên – Công nghệ - Môi trường,29,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
PH002,Nhập môn mạch số,4,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn đại cương,
IT006,Kiến trúc máy tính,3,Môn đại cương,
Ngoại ngữ,Ngoại ngữ,12,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
Giáo dục thể chất – Giáo dục quốc phòng,Giáo dục thể chất – Giáo dục quốc phòng,,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
CE006,Giới thiệu ngành TKVM,1,Môn cơ sở ngành,
CE103,Vi xử lý – vi điều khiển,4,Môn cơ sở ngành,
CE119,Thực hành Kiến trúc Máy tính,1,Môn cơ sở ngành,
CE125,Kỹ thuật phân tích mạch,4,Môn cơ sở ngành,
CE124,Các thiết bị và mạch điện tử,4,Môn cơ sở ngành,
CE118,Thiết kế luận lý số,4,Môn cơ sở ngành,
CE213,Thiết kế hệ thống số với HDL,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
CE126,Vật lý bán dẫn và ứng dụng,4,Môn cơ sở ngành,
CE409,Kỹ thuật thiết kế kiểm tra,4,Môn cơ sở ngành,
CE226,Thiết kế VLSI,4,Môn cơ sở ngành,
CE433,Thiết kế hệ thống SoC,4,Môn cơ sở ngành,
CE436,Xử lý tín hiệu số và ứng dụng,4,Môn cơ sở ngành,
CE207,Đồ án TKVM 1,Đồ án TKVM 1,Môn chuyên ngành,
CE208,Đồ án TKVM 2,Đồ án TKVM 2,Môn chuyên ngành,
CE337,Tối ưu hoá cho FPGA,4,Môn chuyên ngành,
CE351,Thiết kế bộ tăng tốc phần cứng,4,Môn chuyên ngành,
CE349,Hệ thống nhúng trên SoC,4,Môn chuyên ngành,
CE352,Xử lý tín hiệu số trên FPGA,4,Môn chuyên ngành,
CE350,Xử lý ảnh hướng ASIC,4,Môn chuyên ngành,
CE336,Tự động hóa thiết kế vi mạch,4,Môn chuyên ngành,
CE334,Thiết kế vi mạch tương tự,4,Môn chuyên ngành,
CE332,Thiết kế vi mạch hỗn hợp,4,Môn chuyên ngành,
CE353,Thiết kế vật lý vi mạch,4,Môn chuyên ngành,
CE434,Chuyên đề thiết kế vi mạch 1,4,Môn chuyên ngành,
CE435,Chuyên đề thiết kế vi mạch 2,4,Môn chuyên ngành,
CE337,Tối ưu hóa cho FPGA,4,Môn chuyên ngành,
SS004,Kỹ năng nghề nghiệp,2,Môn chuyên ngành,
XX***,Tự chọn tự do,≥6,Môn chuyên ngành,
INI01,Thực tập quốc tế,2,Môn chuyên ngành,
IT001,Nhập môn lập trình,4,"Đồ án, thực tập",
ENG01,Anh Văn 1,4,"Đồ án, thực tập",
ME001,Giáo dục quốc phòng,Tính riêng,"Đồ án, thực tập",
ENG02,Anh Văn 2,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
CE119,Thực hành kiến trúc máy tính,1,"Đồ án, thực tập",
ENG03,Anh Văn 3,4,"Đồ án, thực tập",
SS008,Kinh tế chính trị Mác-Lê nin,2,"Đồ án, thực tập",
IT007,Hệ điều hành,4,"Đồ án, thực tập",
CE103,Vi xử lý - Vi điều khiển,4,"Đồ án, thực tập",
SS010,Lịch sử Đảng cộng sản Việt Nam,2,"Đồ án, thực tập",
SS007,Triết học Mác-Lê nin,3,"Đồ án, thực tập",
CE207,Đồ án TKVM 1,2,"Đồ án, thực tập",
CE***,Tự chọn chuyên ngành TKVM 1,4,"Đồ án, thực tập",
XX***,Tự chọn tự do 1,3,"Đồ án, thực tập",
CE208,Đồ án TKVM 2,2,"Đồ án, thực tập",
CE502,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
XX***,Tự chọn tự do 2,3,"Đồ án, thực tập",
CE***,Tự chọn chuyên ngành TKVM 2,4,"Đồ án, thực tập",
CE505,Khóa luận tốt nghiệp (có thể thay thế bằng Đồ án tốt nghiệp tại doanh nghiệp hoặc nhóm môn học thay thế),10,"Đồ án, thực tập",
CE348,Chuyên đề nghiên cứu khoa học và đổi mới sáng tạo,4,Môn chuyên ngành,
Mã MH,Tên MH,Số TC,"Đồ án, thực tập",
,Tự chọn chuyên ngành,≥8,"Đồ án, thực tập",
CE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
CE507,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
CE505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
