Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,13,0,Môn đại cương,
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
,18,0,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
CS115,Toán cho Khoa học máy tính,4,Môn đại cương,
,12,0,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE231,Giáo dục thể chất 1,,Môn đại cương,
PE232,Giáo dục thể chất 2,,Môn đại cương,
ME001,Giáo dục quốc phòng,,Môn đại cương,
,2,0,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
IT001,Nhập môn lập trình,4,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
SE104,Nhập môn Công nghệ phần mềm,4,Môn cơ sở ngành,
CS111,Nguyên lý và phương pháp lập trình,3,Môn cơ sở ngành,
CS311,Kỹ thuật lập trình Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS116,Lập trình Python cho Máy học,3,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
CS112,Phân tích và thiết kế thuật toán,4,Môn cơ sở ngành,
IT012,Tổ chức và cấu trúc máy tính II,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
CS106,Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS114,Máy học,4,Môn cơ sở ngành,
AI002,Tư duy Trí tuệ nhân tạo,4,Môn cơ sở ngành,
CS221,Xử lý ngôn ngữ tự nhiên,4,Môn cơ sở ngành,
CS231,Nhập môn Thị giác máy tính,3,Môn cơ sở ngành,
CS214,Biểu diễn tri thức và suy luận,3,Môn cơ sở ngành,
CS232,Tính toán đa phương tiện,3,Môn cơ sở ngành,
AI001,Giới thiệu ngành Trí tuệ nhân tạo,1,Môn cơ sở ngành,
CS211,Trí tuệ nhân tạo nâng cao,4,Môn cơ sở ngành,
CS315,Máy học nâng cao,4,Môn cơ sở ngành,
CS410,Mạng Neural và Thuật giải di truyền,4,Môn cơ sở ngành,
CS431,Các kĩ thuật học sâu và ứng dụng,3,Môn cơ sở ngành,
CS217,Các hệ cơ sở tri thức,4,Môn cơ sở ngành,
CS316,Các hệ giải bài toán thông minh,4,Môn cơ sở ngành,
CS312,Hệ thống đa tác tử,4,Môn cơ sở ngành,
CS229,Ngữ nghĩa học tính toán,4,Môn cơ sở ngành,
CS226,Ngôn ngữ học máy tính,4,Môn cơ sở ngành,
CS222,Xử lý ngôn ngữ tự nhiên nâng cao,4,Môn cơ sở ngành,
CS323,Các hệ thống hỏi-đáp,4,Môn cơ sở ngành,
CS321,Ngôn ngữ học ngữ liệu,4,Môn cơ sở ngành,
CS325,Dịch máy,4,Môn cơ sở ngành,
CS331,Thị giác máy tính nâng cao,4,Môn cơ sở ngành,
CS532,Thị giác máy tính trong tương tác người – máy,4,Môn cơ sở ngành,
CS338,Nhận dạng,4,Môn cơ sở ngành,
CS313,Khai thác dữ liệu và ứng dụng,4,Môn cơ sở ngành,
CS336,Truy vấn thông tin đa phương tiện,4,Môn cơ sở ngành,
CS337,Xử lý âm thanh và tiếng nói,4,Môn cơ sở ngành,
CS535,Tổng hợp tiếng nói,4,Môn cơ sở ngành,
AI301,Khởi nghiệp và sáng tạo,2,Môn cơ sở ngành,
AI302,Kỹ thuật viết báo cáo và trình bày,2,Môn cơ sở ngành,
CS317,Phát triển và vận hành hệ thống máy học,4,Môn cơ sở ngành,
DS103,Thu thập và tiền xử lý dữ liệu,4,Môn cơ sở ngành,
DS200,Phân tích dữ liệu lớn,4,Môn cơ sở ngành,
DS201,Deep Learning trong khoa học dữ liệu,4,Môn cơ sở ngành,
CE340,Trí tuệ nhân tạo cho hệ thống nhúng,4,Môn cơ sở ngành,
CE344,Trí tuệ nhân tạo cho IoT,4,Môn cơ sở ngành,
IS211,Cơ sở dữ liệu phân tán,4,Môn cơ sở ngành,
IS403,Phân tích dữ liệu kinh doanh,3,Môn cơ sở ngành,
SE113,Kiểm chứng phần mềm,4,Môn cơ sở ngành,
SE357,Kỹ thuật phân tích yêu cầu,3,Môn cơ sở ngành,
SE358,Quản lý dự án phát triển phần mềm,4,Môn cơ sở ngành,
NT538,Giải thuật xử lý song song và phân bố,3,Môn cơ sở ngành,
NT539,AI ứng dụng trong mạng và truyền thông,4,Môn cơ sở ngành,
CS519,Phương pháp luận nghiên cứu khoa học,3,Môn cơ sở ngành,
CS529,Các vấn đề nghiên cứu và ứng dụng trong khoa học máy tính,4,Môn cơ sở ngành,
CS333,Đồ họa game,3,Môn cơ sở ngành,
CS527,Thực tại ảo,4,Môn cơ sở ngành,
CS523,Cấu trúc dữ liệu và giải thuật nâng cao,4,Môn cơ sở ngành,
CS551*,Thực tập,2,Môn cơ sở ngành,
AI505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
AI504,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
AI503,Đồ án tốt nghiệp,6,"Đồ án, thực tập",
CS409,Hệ suy diễn mờ,4,"Đồ án, thực tập",
CS405,Logic mờ và ứng dụng,4,"Đồ án, thực tập",
CS406,Xử lý ảnh và ứng dụng,4,"Đồ án, thực tập",
CS419,Truy xuất thông tin,4,"Đồ án, thực tập",
CS412,Web ngữ nghĩa,4,"Đồ án, thực tập",
