Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
PH002,Nhập môn mạch số,4,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT006,Kiến trúc máy tính,3,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
NT015,Giới thiệu ngành ATTT,1,Môn cơ sở ngành,
NT106,Lập trình mạng căn bản,3,Môn cơ sở ngành,
NT140,An toàn mạng,4,Môn cơ sở ngành,
NT230,Cơ chế hoạt động của mã độc,3,Môn cơ sở ngành,
NT132,Quản trị mạng và hệ thống,4,Môn cơ sở ngành,
NT219,Mật mã học,3,Môn cơ sở ngành,
NT209,Lập trình hệ thống,3,Môn cơ sở ngành,
NT208,Lập trình ứng dụng web,3,Môn cơ sở ngành,
NT521,Lập trình an toàn và khai thác lỗ hổng phần mềm,4,Môn cơ sở ngành,
NT204,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",3,Môn chuyên ngành,
NT330,An toàn mạng không dây và di động,3,Môn chuyên ngành,
NT207,Quản lý rủi ro và an toàn thông tin trong doanh nghiệp,3,Môn chuyên ngành,
NT137,Kỹ thuật phân tích mã độc,3,Môn chuyên ngành,
NT213,Bảo mật web và ứng dụng,3,Môn chuyên ngành,
NT334,Pháp chứng kỹ thuật số,3,Môn chuyên ngành,
NT535,Bảo mật Internet of things,3,Môn chuyên ngành,
NT211,"An ninh nhân sự, định danh và chứng thực",3,Môn chuyên ngành,
NT212,"An toàn dữ liệu, khôi phục thông tin sau sự cố",3,Môn chuyên ngành,
NT534,An toàn mạng máy tính nâng cao,3,Môn chuyên ngành,
NT133,An toàn kiến trúc hệ thống,3,Môn chuyên ngành,
NT523,An toàn thông tin trong kỷ nguyên Máy tính lượng tử,3,Môn chuyên ngành,
NT205,Tấn công mạng,3,Môn chuyên ngành,
NT547,"Blockchain: nền tảng, ứng dụng và bảo mật",3,Môn chuyên ngành,
NT118,Phát triển ứng dụng trên thiết bị di động,3,Môn chuyên ngành,
NT522,Phương pháp học máy trong an toàn thông tin,3,Môn chuyên ngành,
SS004,Kỹ năng nghề nghiệp,2,Môn chuyên ngành,
,Tự chọn tự do 1,,Môn tự do,
,Tự chọn tự do 2,,Môn tự do,
NT114,Đồ án chuyên ngành,2,"Đồ án, thực tập",
NT215,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
NT505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
NT506,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
NT508,Đồ án tốt nghiệp,6,"Đồ án, thực tập",
,Chuyên đề tốt nghiệp tự chọn,,"Đồ án, thực tập",
NT541,Công nghệ mạng khả lập trình,4,"Đồ án, thực tập",
NT548,Công nghệ DevOps và ứng dụng,4,"Đồ án, thực tập",
IT001,Nhập môn lập trình,4,"Đồ án, thực tập",
Giải tích,4,4,"Đồ án, thực tập",
Đại số tuyến tính,3,3,"Đồ án, thực tập",
Nhập môn mạch số,4,3,"Đồ án, thực tập",
Giới thiệu ngành ATTT,1,1,"Đồ án, thực tập",
Anh văn 1,4,4,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 1,20,18,"Đồ án, thực tập",
IT002,Lập trình hướng đối tượng,4,"Đồ án, thực tập",
Nhập môn mạng máy tính,4,3,"Đồ án, thực tập",
Cấu trúc rời rạc,4,4,"Đồ án, thực tập",
Kiến trúc máy tính,3,3,"Đồ án, thực tập",
Pháp luật đại cương,2,2,"Đồ án, thực tập",
Anh văn 2,4,4,"Đồ án, thực tập",
