Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Lập trình máy tính,20,Giai đoạn 1,
,Hệ thống máy tính,20,Giai đoạn 1,
,Phát triển và thiết kế web,20,Giai đoạn 1,
,Cấu trúc dữ liệu và giải thuật,20,Giai đoạn 1,
,Mạng máy tính căn bản,20,Giai đoạn 1,
,Đồ án đổi mới sáng tạo,20,Giai đoạn 1,
,Lập trình hướng đối tượng,20,Giai đoạn 1,
,Hệ điều hành,20,Giai đoạn 1,
,Phát triển ứng dụng web và cơ sở dữ liệu,20,Giai đoạn 1,
,Toán rời rạc và Lập trình khai báo,20,Giai đoạn 1,
,An ninh mạng,20,Giai đoạn 1,
,Thiết kế phần mềm,20,Giai đoạn 1,
,Thiết kế trải nghiệm người dùng,20,Giai đoạn 2,
,Trí tuệ nhân tạo và Máy học,20,Giai đoạn 2,
,Phát triển ứng dụng cho thiết bị di động và thiết bị đeo,20,Giai đoạn 2,
,Điện toán đám mây,20,Giai đoạn 2,
,Dự án cá nhân,40,Giai đoạn 2,
