Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
CE121,Lý thuyết mạch điện,4,Giai đoạn 1,
PH002,Nhập môn mạch số,4,Giai đoạn 1,
IT001,Nhập môn lập trình,4,Giai đoạn 1,
CE005,Giới thiệu ngành KTMT,1,Giai đoạn 1,
MA006,Giải tích,4,Giai đoạn 1,
MA003,Đại số tuyến tính,4,Giai đoạn 1,
IT002,Lập trình hướng đối tượng,4,Giai đoạn 1,
IT003,Cấu trúc dữ liệu và giải thuật,4,Giai đoạn 1,
CE124,Các thiết bị và mạch điện tử,4,Giai đoạn 1,
CE103,Vi xử lý – Vi điều khiển,4,Giai đoạn 1,
MA005,Xác suất thống kê,3,Giai đoạn 1,
IT006,Kiến trúc máy tính,3,Giai đoạn 1,
CE119,Thực hành kiến trúc máy tính,1,Giai đoạn 1,
CE118,Thiết kế luận lý số,4,Giai đoạn 1,
MA004,Cấu trúc rời rạc,4,Giai đoạn 1,
IT004,Cơ sở dữ liệu,4,Giai đoạn 1,
IT007,Hệ điều hành,4,Giai đoạn 1,
SS004,Kỹ năng nghề nghiệp,2,Giai đoạn 1,
ENGG3500,Managing Engineering Projects,10,Giai đoạn 2,
ELEC3730,Digital and Computer Electronics 2,Digital and Computer Electronics 2,Giai đoạn 2,
Elective,Free Elective course,10,Giai đoạn 2,
Directed 1,Major Elective course 1,Major Elective course 1,Giai đoạn 2,
PHYS1220,Advanced Physics II,10,Giai đoạn 2,
SENG2250,System and Network Security,10,Giai đoạn 2,
ELEC2430,Circuits and Signals,10,Giai đoạn 2,
ELEC3500,Telecommunication Networks,10,Giai đoạn 2,
ELEC4840A,Final Year Engineering Project Part A,10,Giai đoạn 2,
COMP3500,Security Attacks: Analysis and Mitigation Strategies,10,Giai đoạn 2,
ENGG3000,Engineering Work Integrated Learning,10,Giai đoạn 2,
Directed 2,Major Elective course 2,Major Elective course 2,Giai đoạn 2,
ELEC4840B,Final Year Engineering Project Part B,20,Giai đoạn 2,
ELEC3240,Analog Electronics,10,Giai đoạn 2,
ELEC3540,Analog and Digital Communications,10,Giai đoạn 2,
CE103,Vi xử lý - Vi điều khiển,,Giai đoạn 1,
