Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn Lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
SE005,Giới thiệu ngành Kỹ thuật Phần mềm,1,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IT012,Tổ chức và cấu trúc máy tính II,4,Môn cơ sở ngành,
IT008,Lập trình trực quan,4,Môn cơ sở ngành,
SE100,Phương pháp phát triển phần mềm hướng đối tượng,4,Môn cơ sở ngành,
SE104,Nhập môn công nghệ phần mềm,4,Môn cơ sở ngành,
SE359,DevOps trong Phát triển Phần mềm,3,Môn cơ sở ngành,
SE102,Nhập môn phát triển game (1),3,Môn cơ sở ngành,
SE115,Phát triển game với Unity,3,Môn cơ sở ngành,
SE116,Phát triển kỹ năng lập trình Game ứng dụng trong thực tế,4,Môn cơ sở ngành,
SE114,Nhập môn ứng dụng di động (1),3,Môn cơ sở ngành,
SE360,Điện toán đám mây và phát triển ứng dụng hướng dịch vụ,4,Môn cơ sở ngành,
SE361,Phát triển phần mềm theo kiến trúc Microservices,4,Môn cơ sở ngành,
SE301,Phát triển phần mềm mã nguồn mở (1),3,Môn cơ sở ngành,
SE215,Giao tiếp người máy (2),4,Môn cơ sở ngành,
