Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Tư tưởng Hồ Chí Minh,,"Đồ án, thực tập",
,Pháp luật đại cương,,"Đồ án, thực tập",
,Triết học Mác – Lênin,,"Đồ án, thực tập",
,Kinh tế chính trị Mác – Lênin,,"Đồ án, thực tập",
,Chủ nghĩa xã hội khoa học,,"Đồ án, thực tập",
,Lịch sử Đảng Cộng sản Việt Nam,,"Đồ án, thực tập",
,Giáo dục quốc phòng,,"Đồ án, thực tập",
,Giáo dục thể chất 1,Physical education 1,"Đồ án, thực tập",
,Giáo dục thể chất 2,Physical education 2,"Đồ án, thực tập",
,Lập trình máy tính,,"Đồ án, thực tập",
,Toán cho Tin học,,"Đồ án, thực tập",
,Hệ thống máy tính,,"Đồ án, thực tập",
,Mạng máy tính căn bản,,"Đồ án, thực tập",
,Hệ điều hành,,"Đồ án, thực tập",
,Đồ án đổi mới sáng tạo,,"Đồ án, thực tập",
,Công nghệ mạng máy tính,,"Đồ án, thực tập",
,Lập trình cho kỹ sư mạng máy tính,,"Đồ án, thực tập",
,Quản lý hệ thống Cloud,,"Đồ án, thực tập",
,Hệ thống mạng doanh nghiệp,,"Đồ án, thực tập",
,Hoạt động an ninh mạng,,"Đồ án, thực tập",
,Dự án chuyên ngành,,"Đồ án, thực tập",
,Công nghệ mạng không dây,,"Đồ án, thực tập",
,Hệ thống tường lửa nâng cao,,"Đồ án, thực tập",
,An toàn mạng máy tính,,"Đồ án, thực tập",
,Ethical Hacking,,"Đồ án, thực tập",
,Dự án cá nhân,,"Đồ án, thực tập",
,Quản trị hệ thống Cloud,48,Giai đoạn 1,
