Mã MH,Tên Môn Học,TC/SL,LT,TH
Hệ Liên Kết,Lập trình máy tính,48,40,25
Hệ Liên Kết,Toán cho Tin học,48,40,25
Hệ Liên Kết,Hệ thống máy tính,48,40,25
Hệ Liên Kết,Pháp luật đại cương,0,0,0
Hệ Liên Kết,Triết học Mác – Lênin,0,0,0
Hệ Liên Kết,Mạng máy tính căn bản,48,40,25
Hệ Liên Kết,Hệ điều hành,52,44,25
Hệ Liên Kết,Đồ án đổi mới sáng tạo,60,48,25
Hệ Liên Kết,Tư tưởng Hồ Chí Minh,0,0,0
Hệ Liên Kết,Giáo dục thể chất 1,0,0,0
Hệ Liên Kết,Công nghệ mạng máy tính,48,40,25
Hệ Liên Kết,Lập trình cho kỹ sư mạng máy tính,48,40,25
Hệ Liên Kết,Quản trị hệ thống Cloud,48,40,25
Hệ Liên Kết,Chủ nghĩa xã hội khoa học,0,0,0
Hệ Liên Kết,Giáo dục thể chất 2,0,0,0
Hệ Liên Kết,Hệ thống mạng doanh nghiệp,48,40,25
Hệ Liên Kết,Hoạt động an ninh mạng,48,40,25
Hệ Liên Kết,Dự án chuyên ngành,48,40,25
Hệ Liên Kết,Kinh tế chính trị Mác – Lênin,0,0,0
Hệ Liên Kết,Lịch sử Đảng Cộng sản Việt Nam,0,0,0
Hệ Liên Kết,Công nghệ mạng không dây,48,40,25
Hệ Liên Kết,Hệ thống tường lửa nâng cao,48,40,25
Hệ Liên Kết,Dự án cá nhân,0,15,0
Hệ Liên Kết,An toàn mạng máy tính,48,40,25
Hệ Liên Kết,Ethical Hacking,48,40,25
Hệ Liên Kết,Dự án cá nhân,0,15,0
