Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh Ho Chi Minh's ideology,2,Môn đại cương,
SS006,Pháp luật đại cương Introduction to Law,2,Môn đại cương,
SS007,Triết học Mác – Lênin Philosophy Marx-Lenin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin Marxist Leninist political economy,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học Scientific socialism,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam History of Vietnamese communist party,2,Môn đại cương,
PE231,Giáo dục thể chất 1 Physical Education 1,,Môn đại cương,
PE232,Giáo dục thể chất 2 Physical Education 2,,Môn đại cương,
ME001,Giáo dục quốc phòng National Defense and Security Education,,Môn đại cương,
ENG01,Anh văn 1 English 1,4,Môn đại cương,
ENG02,Anh văn 2 English 2,4,Môn đại cương,
ENG03,Anh văn 3 English 3,4,Môn đại cương,
MA003,Đại số tuyến tính Linear algebra,3,Môn đại cương,
MA005,Xác suất thống kê Statistical Probability,3,Môn đại cương,
IT001,Nhập môn Lập trình Introduction to Programming,4,Môn đại cương,
MM005,Nhập môn marketing Introduction to marketting,2,Môn đại cương,
MM006,Tâm lý học đại cương Introduction to psychology,2,Môn đại cương,
MM007,Tư duy sáng tạo và xu hướng thiết kế truyền thông Creative Thinking and Media Design Trends,2,Môn đại cương,
MM008,Kỹ năng truyền thông giao tiếp Communication Skills,2,Môn đại cương,
SS004,Kỹ năng nghề nghiệp Professional Skill,2,Môn đại cương,
MM101,Giới thiệu ngành TTĐPT Introduction to Multimedia,1,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu Database,4,Môn cơ sở ngành,
MM102,Lý luận truyền thông đại chúng Foundation of mass communication,3,Môn cơ sở ngành,
MM103,Cơ sở tạo hình và nguyên lý thị giác Basics of form creation and visual principle,2,Môn cơ sở ngành,
MM110,Màu sắc và tâm lý thị giác trong thiết kế truyền thông Color and visual perception psychology in media design,2,Môn cơ sở ngành,
MM104,Viết nội dung đa phương tiện Multimedia content writing​,3,Môn cơ sở ngành,
MM105,Nhập môn kỹ thuật sản xuất nội dung đa phương tiện Introduction to multimedia production,3,Môn cơ sở ngành,
MM106,Thu thập và phân tích khám phá dữ liệu TTĐPT Data collection and exploratory analysis for multimedia,3,Môn cơ sở ngành,
MM107,Học máy ứng dụng trong TTĐPT Applied machine learning for multimedia,3,Môn cơ sở ngành,
MM108,Tiếp thị số Digital marketting,3,Môn cơ sở ngành,
IT002,Lập trình hướng đối tượng Object oriented programming,4,Môn cơ sở ngành,
MM109,Thiết kế đồ họa Graphic design ​principles,4,Môn cơ sở ngành,
MM201,Truyền thông và dư luận xã hội Media and public discourse,4,Môn chuyên ngành,
MM202,Học sâu ứng dụng trong truyền thông đa phương tiện Applied deep learning for multimedia,4,Môn chuyên ngành,
MM203,Xử lý ngôn ngữ tự nhiên cho truyền thông đa phương tiện Natural Language Processing​ for multimedia,4,Môn chuyên ngành,
MM204,Xử lý ảnh số và video trong TTĐPT Digital image and video processing for multimedia,4,Môn chuyên ngành,
MM205,Phân tích và hiểu nội dung đa phương thức Multimodal data analysis and understanding,4,Môn chuyên ngành,
MM206,Dữ liệu lớn ứng dụng trong truyền thông đa phương tiện Big data applied in multimedia,4,Môn chuyên ngành,
MM207,Hệ thống khai phá dữ liệu mạng xã hội Developing social network data mining system,4,Môn chuyên ngành,
MM221,Chuyên đề các vấn đề hiện đại trong TTĐPT Seminar on modern topics in multimedia,3,Môn chuyên ngành,
MM222,An ninh thông tin trong truyền thông đa phương tiện Information security in multimedia,4,Môn chuyên ngành,
IE106,Thiết kế giao diện người dùng User interface design,4,Môn chuyên ngành,
SE347,Công nghệ Web và ứng dụng Web technology and application,4,Môn chuyên ngành,
MM208,Thiết kế và sản xuất ấn phẩm Publication design & production,4,Môn chuyên ngành,
MM209,Nghiệp vụ truyền và thông báo chí Press communication profession,4,Môn chuyên ngành,
MM210,"Kỹ thuật quay phim biên kịch và hậu kỳ Video recording, screen writing and post processing techniques)",4,Môn chuyên ngành,
MM211,Thực tế ảo và thực tế tăng cường Virtual and Augmented Reality,4,Môn chuyên ngành,
